Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"SCL","Supply Utilization Accounts (2010-)","004","Afghanistan","5520","Feed","0115","Barley","2018","2018","t","40000","A","Official figure",""
"SCL","Supply Utilization Accounts (2010-)","004","Afghanistan","5525","Seed","0115","Barley","2018","2018","t","13000","A","Official figure",""
"SCL","Supply Utilization Accounts (2010-)","004","Afghanistan","5016","Loss","0115","Barley","2018","2018","t","9475.26","E","Estimated value",""
"SCL","Supply Utilization Accounts (2010-)","004","Afghanistan","5166","Residuals","0115","Barley","2018","2018","t","0","I","Value imputed by a receiving agency",""
"SCL","Supply Utilization Accounts (2010-)","004","Afghanistan","5141","Food supply quantity (tonnes)","0115","Barley","2018","2018","t","7889.74","E","Estimated value",""
"SCL","Supply Utilization Accounts (2010-)","004","Afghanistan","5520","Feed","0115","Barley","2019","2019","t","88000","A","Official figure",""
"SCL","Supply Utilization Accounts (2010-)","004","Afghanistan","5525","Seed","0115","Barley","2019","2019","t","14000","A","Official figure",""
"SCL","Supply Utilization Accounts (2010-)","004","Afghanistan","5016","Loss","0115","Barley","2019","2019","t","19000","A","Official figure",""
"SCL","Supply Utilization Accounts (2010-)","004","Afghanistan","5166","Residuals","0115","Barley","2019","2019","t","0","I","Value imputed by a receiving agency",""
"SCL","Supply Utilization Accounts (2010-)","004","Afghanistan","5141","Food supply quantity (tonnes)","0115","Barley","2019","2019","t","2576","A","Official figure",""
"SCL","Supply Utilization Accounts (2010-)","004","Afghanistan","5520","Feed","0115","Barley","2020","2020","t","91000","A","Official figure",""
"SCL","Supply Utilization Accounts (2010-)","004","Afghanistan","5525","Seed","0115","Barley","2020","2020","t","14000","A","Official figure",""
"SCL","Supply Utilization Accounts (2010-)","004","Afghanistan","5016","Loss","0115","Barley","2020","2020","t","19000","A","Official figure",""
"SCL","Supply Utilization Accounts (2010-)","004","Afghanistan","5166","Residuals","0115","Barley","2020","2020","t","0","I","Value imputed by a receiving agency",""
"SCL","Supply Utilization Accounts (2010-)","004","Afghanistan","5141","Food supply quantity (tonnes)","0115","Barley","2020","2020","t","3757","A","Official figure",""
"SCL","Supply Utilization Accounts (2010-)","004","Afghanistan","5520","Feed","0115","Barley","2021","2021","t","46000","A","Official figure",""
"SCL","Supply Utilization Accounts (2010-)","004","Afghanistan","5525","Seed","0115","Barley","2021","2021","t","6000","A","Official figure",""
"SCL","Supply Utilization Accounts (2010-)","004","Afghanistan","5016","Loss","0115","Barley","2021","2021","t","10000","A","Official figure",""
"SCL","Supply Utilization Accounts (2010-)","004","Afghanistan","5166","Residuals","0115","Barley","2021","2021","t","0","I","Value imputed by a receiving agency",""
"SCL","Supply Utilization Accounts (2010-)","004","Afghanistan","5141","Food supply quantity (tonnes)","0115","Barley","2021","2021","t","1600","E","Estimated value",""
"SCL","Supply Utilization Accounts (2010-)","004","Afghanistan","5520","Feed","0115","Barley","2022","2022","t","67000","A","Official figure",""
"SCL","Supply Utilization Accounts (2010-)","004","Afghanistan","5525","Seed","0115","Barley","2022","2022","t","10000","A","Official figure",""
"SCL","Supply Utilization Accounts (2010-)","004","Afghanistan","5016","Loss","0115","Barley","2022","2022","t","14000","A","Official figure",""
"SCL","Supply Utilization Accounts (2010-)","004","Afghanistan","5166","Residuals","0115","Barley","2022","2022","t","0","I","Value imputed by a receiving agency",""
"SCL","Supply Utilization Accounts (2010-)","004","Afghanistan","5141","Food supply quantity (tonnes)","0115","Barley","2022","2022","t","2334.81","E","Estimated value",""
"SCL","Supply Utilization Accounts (2010-)","004","Afghanistan","5520","Feed","21910.03","Cake of  soya beans","2018","2018","t","6684.07","I","Value imputed by a receiving agency",""
"SCL","Supply Utilization Accounts (2010-)","004","Afghanistan","5166","Residuals","21910.03","Cake of  soya beans","2018","2018","t","0","I","Value imputed by a receiving agency",""
"SCL","Supply Utilization Accounts (2010-)","004","Afghanistan","5520","Feed","21910.03","Cake of  soya beans","2019","2019","t","11292.6","I","Value imputed by a receiving agency",""
"SCL","Supply Utilization Accounts (2010-)","004","Afghanistan","5166","Residuals","21910.03","Cake of  soya beans","2019","2019","t","0","I","Value imputed by a receiving agency",""
"SCL","Supply Utilization Accounts (2010-)","004","Afghanistan","5520","Feed","21910.03","Cake of  soya beans","2020","2020","t","26377.8","I","Value imputed by a receiving agency",""
"SCL","Supply Utilization Accounts (2010-)","004","Afghanistan","5166","Residuals","21910.03","Cake of  soya beans","2020","2020","t","0","I","Value imputed by a receiving agency",""
"SCL","Supply Utilization Accounts (2010-)","004","Afghanistan","5520","Feed","21910.03","Cake of  soya beans","2021","2021","t","32352.32","I","Value imputed by a receiving agency",""
"SCL","Supply Utilization Accounts (2010-)","004","Afghanistan","5166","Residuals","21910.03","Cake of  soya beans","2021","2021","t","0","I","Value imputed by a receiving agency",""
"SCL","Supply Utilization Accounts (2010-)","004","Afghanistan","5520","Feed","21910.03","Cake of  soya beans","2022","2022","t","44047.49","I","Value imputed by a receiving agency",""
"SCL","Supply Utilization Accounts (2010-)","004","Afghanistan","5166","Residuals","21910.03","Cake of  soya beans","2022","2022","t","0","I","Value imputed by a receiving agency",""
"SCL","Supply Utilization Accounts (2010-)","004","Afghanistan","5520","Feed","21910.08","Cake of rapeseed","2018","2018","t","94.5","I","Value imputed by a receiving agency",""
"SCL","Supply Utilization Accounts (2010-)","004","Afghanistan","5166","Residuals","21910.08","Cake of rapeseed","2018","2018","t","0","I","Value imputed by a receiving agency",""
"SCL","Supply Utilization Accounts (2010-)","004","Afghanistan","5520","Feed","21910.08","Cake of rapeseed","2019","2019","t","85.57","I","Value imputed by a receiving agency",""
"SCL","Supply Utilization Accounts (2010-)","004","Afghanistan","5166","Residuals","21910.08","Cake of rapeseed","2019","2019","t","0","I","Value imputed by a receiving agency",""
"SCL","Supply Utilization Accounts (2010-)","004","Afghanistan","5520","Feed","21910.08","Cake of rapeseed","2020","2020","t","1619.51","I","Value imputed by a receiving agency",""
